invoice_no,stock_code,description,quantity,invoice_date,unit_price,customer_id,country,store_id,currency,sales_channel,payment_method,line_total
565080,20677,PINK POLKADOT BOWL,8,2011-09-01 08:25:00,1.25,13509.0,PH,PH-STORE-004,PHP,online,cash,10.0
565080,22128,PARTY CONES CANDY ASSORTED,24,2011-09-01 08:25:00,1.25,13509.0,PH,PH-STORE-004,PHP,online,cash,30.0
565081,21067,,1,2011-09-01 09:03:00,0.0,,PH,PH-STORE-009,PHP,online,cash,0.0
565082,22423,REGENCY CAKESTAND 3 TIER,2,2011-09-01 09:15:00,12.75,13305.0,PH,PH-STORE-004,PHP,online,e_wallet,25.5
565082,15060B,FAIRY CAKE DESIGN UMBRELLA,8,2011-09-01 09:15:00,3.75,13305.0,PH,PH-STORE-004,PHP,online,e_wallet,30.0
565082,23245,SET OF 3 REGENCY CAKE TINS,4,2011-09-01 09:15:00,4.95,13305.0,PH,PH-STORE-004,PHP,online,e_wallet,19.8
565083,22609,PENS ASSORTED SPACEBALL,36,2011-09-01 09:19:00,0.19,16187.0,PH,PH-STORE-007,PHP,online,card,6.84
565083,22741,FUNKY DIVA PEN,48,2011-09-01 09:19:00,0.85,16187.0,PH,PH-STORE-007,PHP,online,card,40.8
565083,23146,TRIPLE HOOK ANTIQUE IVORY ROSE,16,2011-09-01 09:19:00,3.29,16187.0,PH,PH-STORE-007,PHP,online,card,52.64
565083,72351A,SET/6 TURQUOISE BUTTERFLY T-LIGHTS,24,2011-09-01 09:19:00,2.1,16187.0,PH,PH-STORE-007,PHP,online,card,50.400000000000006
565083,72351B,SET/6 PINK  BUTTERFLY T-LIGHTS,12,2011-09-01 09:19:00,2.1,16187.0,PH,PH-STORE-007,PHP,online,card,25.200000000000003
565083,22652,TRAVEL SEWING KIT,10,2011-09-01 09:19:00,1.65,16187.0,PH,PH-STORE-007,PHP,online,card,16.5
565083,22489,PACK OF 12 TRADITIONAL CRAYONS,24,2011-09-01 09:19:00,0.42,16187.0,PH,PH-STORE-007,PHP,online,card,10.08
565083,22653,BUTTON BOX ,20,2011-09-01 09:19:00,1.95,16187.0,PH,PH-STORE-007,PHP,online,card,39.0
565083,23263,SET OF 3 WOODEN HEART DECORATIONS,24,2011-09-01 09:19:00,1.25,16187.0,PH,PH-STORE-007,PHP,online,card,30.0
565083,21415,CLAM SHELL SMALL ,24,2011-09-01 09:19:00,2.1,16187.0,PH,PH-STORE-007,PHP,online,card,50.400000000000006
565083,22212,FOUR HOOK  WHITE LOVEBIRDS,6,2011-09-01 09:19:00,2.1,16187.0,PH,PH-STORE-007,PHP,online,card,12.600000000000001
565084,23309,SET OF 60 I LOVE LONDON CAKE CASES ,120,2011-09-01 09:39:00,0.42,17306.0,PH,PH-STORE-009,PHP,online,cash,50.4
565084,22970,LONDON BUS COFFEE MUG,36,2011-09-01 09:39:00,2.1,17306.0,PH,PH-STORE-009,PHP,online,cash,75.60000000000001
565084,22988,SOLDIERS EGG CUP ,144,2011-09-01 09:39:00,1.06,17306.0,PH,PH-STORE-009,PHP,online,cash,152.64000000000001
565084,22902,TOTE BAG I LOVE LONDON,50,2011-09-01 09:39:00,1.69,17306.0,PH,PH-STORE-009,PHP,online,cash,84.5
565084,22659,LUNCH BOX I LOVE LONDON,64,2011-09-01 09:39:00,1.65,17306.0,PH,PH-STORE-009,PHP,online,cash,105.6
565084,22616,PACK OF 12 LONDON TISSUES ,432,2011-09-01 09:39:00,0.25,17306.0,PH,PH-STORE-009,PHP,online,cash,108.0
C565085,23079,TOADSTOOL BEDSIDE LIGHT ,-2,2011-09-01 09:40:00,8.95,12474.0,PH,PH-STORE-009,PHP,online,e_wallet,-17.9
565086,22625,RED KITCHEN SCALES,7,2011-09-01 09:57:00,7.5,13631.0,PH,PH-STORE-009,PHP,online,e_wallet,52.5
565087,23085,ANTIQUE SILVER BAUBLE LAMP  ,4,2011-09-01 10:03:00,10.4,13276.0,PH,PH-STORE-008,PHP,online,card,41.6
565087,85048,15CM CHRISTMAS GLASS BALL 20 LIGHTS,2,2011-09-01 10:03:00,7.95,13276.0,PH,PH-STORE-008,PHP,online,card,15.9
565087,22943,CHRISTMAS LIGHTS 10 VINTAGE BAUBLES,3,2011-09-01 10:03:00,4.95,13276.0,PH,PH-STORE-008,PHP,online,card,14.850000000000001
565087,22423,REGENCY CAKESTAND 3 TIER,1,2011-09-01 10:03:00,12.75,13276.0,PH,PH-STORE-008,PHP,online,card,12.75
565087,22890,NOVELTY BISCUITS CAKE STAND 3 TIER,2,2011-09-01 10:03:00,9.95,13276.0,PH,PH-STORE-008,PHP,online,card,19.9
565087,37449,CERAMIC CAKE STAND + HANGING CAKES,2,2011-09-01 10:03:00,9.95,13276.0,PH,PH-STORE-008,PHP,online,card,19.9
565087,23084,RABBIT NIGHT LIGHT,6,2011-09-01 10:03:00,2.08,13276.0,PH,PH-STORE-008,PHP,online,card,12.48
565088,23293,SET OF 12 FAIRY CAKE BAKING CASES,8,2011-09-01 10:11:00,0.83,16145.0,PH,PH-STORE-007,PHP,online,e_wallet,6.64
565088,23296,SET OF 6 TEA TIME BAKING CASES,8,2011-09-01 10:11:00,1.25,16145.0,PH,PH-STORE-007,PHP,online,e_wallet,10.0
565088,23294,SET OF 6 SNACK LOAF BAKING CASES,8,2011-09-01 10:11:00,0.83,16145.0,PH,PH-STORE-007,PHP,online,e_wallet,6.64
565088,23295,SET OF 12 MINI LOAF BAKING CASES,8,2011-09-01 10:11:00,0.83,16145.0,PH,PH-STORE-007,PHP,online,e_wallet,6.64
565088,23328,SET 6 SCHOOL MILK BOTTLES IN CRATE,4,2011-09-01 10:11:00,3.75,16145.0,PH,PH-STORE-007,PHP,online,e_wallet,15.0
565088,16008,SMALL FOLDING SCISSOR(POINTED EDGE),24,2011-09-01 10:11:00,0.12,16145.0,PH,PH-STORE-007,PHP,online,e_wallet,2.88
565088,22095,LADS ONLY TISSUE BOX,36,2011-09-01 10:11:00,0.39,16145.0,PH,PH-STORE-007,PHP,online,e_wallet,14.040000000000001
565088,22610,PENS ASSORTED FUNNY FACE,36,2011-09-01 10:11:00,0.19,16145.0,PH,PH-STORE-007,PHP,online,e_wallet,6.84
565088,84625C,BLUE NEW BAROQUE CANDLESTICK CANDLE,24,2011-09-01 10:11:00,0.85,16145.0,PH,PH-STORE-007,PHP,online,e_wallet,20.4
565088,23187,FRENCH STYLE STORAGE JAR BONBONS,48,2011-09-01 10:11:00,0.29,16145.0,PH,PH-STORE-007,PHP,online,e_wallet,13.919999999999998
565088,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,2011-09-01 10:11:00,2.95,16145.0,PH,PH-STORE-007,PHP,online,e_wallet,17.700000000000003
565088,23436,VINTAGE CHRISTMAS GIFT BAG LARGE ,12,2011-09-01 10:11:00,1.25,16145.0,PH,PH-STORE-007,PHP,online,e_wallet,15.0
565088,23437, 50'S CHRISTMAS GIFT BAG LARGE,12,2011-09-01 10:11:00,1.25,16145.0,PH,PH-STORE-007,PHP,online,e_wallet,15.0
565088,23354,6 GIFT TAGS 50'S CHRISTMAS ,12,2011-09-01 10:11:00,0.83,16145.0,PH,PH-STORE-007,PHP,online,e_wallet,9.959999999999999
