invoice_no,stock_code,description,quantity,invoice_date,unit_price,customer_id,country,store_id,currency,sales_channel,payment_method,line_total
548550,22662,LUNCH BAG DOLLY GIRL DESIGN,10,2011-04-01 08:22:00,1.65,18161.0,PH,PH-STORE-004,PHP,online,cash,16.5
548550,22296,HEART IVORY TRELLIS LARGE,12,2011-04-01 08:22:00,1.65,18161.0,PH,PH-STORE-004,PHP,online,cash,19.799999999999997
548550,21790,VINTAGE SNAP CARDS,12,2011-04-01 08:22:00,0.85,18161.0,PH,PH-STORE-004,PHP,online,cash,10.2
548550,22622,BOX OF VINTAGE ALPHABET BLOCKS,2,2011-04-01 08:22:00,9.95,18161.0,PH,PH-STORE-004,PHP,online,cash,19.9
548550,22393,PAPERWEIGHT VINTAGE COLLAGE,6,2011-04-01 08:22:00,2.55,18161.0,PH,PH-STORE-004,PHP,online,cash,15.299999999999999
548550,85061W,WHITE JEWELLED HEART DECORATION,24,2011-04-01 08:22:00,0.85,18161.0,PH,PH-STORE-004,PHP,online,cash,20.4
548550,22720,SET OF 3 CAKE TINS PANTRY DESIGN ,6,2011-04-01 08:22:00,4.95,18161.0,PH,PH-STORE-004,PHP,online,cash,29.700000000000003
548550,22423,REGENCY CAKESTAND 3 TIER,3,2011-04-01 08:22:00,12.75,18161.0,PH,PH-STORE-004,PHP,online,cash,38.25
548550,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,2011-04-01 08:22:00,2.95,18161.0,PH,PH-STORE-004,PHP,online,cash,17.700000000000003
548550,21794,CLASSIC FRENCH STYLE BASKET NATURAL,2,2011-04-01 08:22:00,6.75,18161.0,PH,PH-STORE-004,PHP,online,cash,13.5
548550,84879,ASSORTED COLOUR BIRD ORNAMENT,16,2011-04-01 08:22:00,1.69,18161.0,PH,PH-STORE-004,PHP,online,cash,27.04
548550,20728,LUNCH BAG CARS BLUE,10,2011-04-01 08:22:00,1.65,18161.0,PH,PH-STORE-004,PHP,online,cash,16.5
548551,22622,BOX OF VINTAGE ALPHABET BLOCKS,4,2011-04-01 08:56:00,9.95,14886.0,PH,PH-STORE-006,PHP,online,e_wallet,39.8
548551,22623,BOX OF VINTAGE JIGSAW BLOCKS ,6,2011-04-01 08:56:00,4.95,14886.0,PH,PH-STORE-006,PHP,online,e_wallet,29.700000000000003
548551,22561,WOODEN SCHOOL COLOURING SET,12,2011-04-01 08:56:00,1.65,14886.0,PH,PH-STORE-006,PHP,online,e_wallet,19.799999999999997
548551,20726,LUNCH BAG WOODLAND,10,2011-04-01 08:56:00,1.65,14886.0,PH,PH-STORE-006,PHP,online,e_wallet,16.5
548551,20728,LUNCH BAG CARS BLUE,10,2011-04-01 08:56:00,1.65,14886.0,PH,PH-STORE-006,PHP,online,e_wallet,16.5
548551,22662,LUNCH BAG DOLLY GIRL DESIGN,10,2011-04-01 08:56:00,1.65,14886.0,PH,PH-STORE-006,PHP,online,e_wallet,16.5
548551,22382,LUNCH BAG SPACEBOY DESIGN ,10,2011-04-01 08:56:00,1.65,14886.0,PH,PH-STORE-006,PHP,online,e_wallet,16.5
548551,23127,DOLLCRAFT GIRL NICOLE,4,2011-04-01 08:56:00,4.95,14886.0,PH,PH-STORE-006,PHP,online,e_wallet,19.8
548551,23126,DOLLCRAFT GIRL AMELIE,4,2011-04-01 08:56:00,4.95,14886.0,PH,PH-STORE-006,PHP,online,e_wallet,19.8
548551,22961,JAM MAKING SET PRINTED,12,2011-04-01 08:56:00,1.45,14886.0,PH,PH-STORE-006,PHP,online,e_wallet,17.4
548551,22722,SET OF 6 SPICE TINS PANTRY DESIGN,4,2011-04-01 08:56:00,3.95,14886.0,PH,PH-STORE-006,PHP,online,e_wallet,15.8
548551,22904,CALENDAR PAPER CUT DESIGN,6,2011-04-01 08:56:00,2.95,14886.0,PH,PH-STORE-006,PHP,online,e_wallet,17.700000000000003
548551,22666,RECIPE BOX PANTRY YELLOW DESIGN,6,2011-04-01 08:56:00,2.95,14886.0,PH,PH-STORE-006,PHP,online,e_wallet,17.700000000000003
548551,22287,"DECORATION , WOBBLY CHICKEN, METAL ",12,2011-04-01 08:56:00,1.65,14886.0,PH,PH-STORE-006,PHP,online,e_wallet,19.799999999999997
548551,22286,"DECORATION , WOBBLY RABBIT , METAL ",12,2011-04-01 08:56:00,1.65,14886.0,PH,PH-STORE-006,PHP,online,e_wallet,19.799999999999997
548551,22291,HANGING CHICK CREAM DECORATION,24,2011-04-01 08:56:00,1.45,14886.0,PH,PH-STORE-006,PHP,online,e_wallet,34.8
548551,22267,EASTER DECORATION EGG BUNNY ,12,2011-04-01 08:56:00,1.25,14886.0,PH,PH-STORE-006,PHP,online,e_wallet,15.0
548551,22281,EASTER TREE YELLOW BIRDS,2,2011-04-01 08:56:00,5.95,14886.0,PH,PH-STORE-006,PHP,online,e_wallet,11.9
548552,22607,WOODEN ROUNDERS GARDEN SET ,8,2011-04-01 09:06:00,8.5,17613.0,PH,PH-STORE-006,PHP,online,e_wallet,68.0
548552,85123A,WHITE HANGING HEART T-LIGHT HOLDER,12,2011-04-01 09:06:00,2.95,17613.0,PH,PH-STORE-006,PHP,online,e_wallet,35.400000000000006
548552,21931,JUMBO STORAGE BAG SUKI,10,2011-04-01 09:06:00,1.95,17613.0,PH,PH-STORE-006,PHP,online,e_wallet,19.5
548552,22385,JUMBO BAG SPACEBOY DESIGN,10,2011-04-01 09:06:00,1.95,17613.0,PH,PH-STORE-006,PHP,online,e_wallet,19.5
548552,21714,CITRONELLA CANDLE GARDEN POT,12,2011-04-01 09:06:00,1.25,17613.0,PH,PH-STORE-006,PHP,online,e_wallet,15.0
548552,21936,RED RETROSPOT PICNIC BAG,5,2011-04-01 09:06:00,2.95,17613.0,PH,PH-STORE-006,PHP,online,e_wallet,14.75
548552,22224,WHITE LOVEBIRD LANTERN,6,2011-04-01 09:06:00,2.95,17613.0,PH,PH-STORE-006,PHP,online,e_wallet,17.700000000000003
548552,72807C,SET/3 VANILLA SCENTED CANDLE IN BOX,4,2011-04-01 09:06:00,4.25,17613.0,PH,PH-STORE-006,PHP,online,e_wallet,17.0
548552,48194,DOORMAT HEARTS,2,2011-04-01 09:06:00,7.95,17613.0,PH,PH-STORE-006,PHP,online,e_wallet,15.9
